2014/11/08 02:04:56	Temp:14.00 	1:1022:0417:2.45312	2:0336:0302:1.11400	3:0393:0339:1.15972	4:0141:0229:0.61724
2014/11/08 02:05:02	Temp:14.00 	1:1022:0416:2.45380	2:0336:0302:1.11432	3:0393:0339:1.15935	4:0142:0229:0.61798
2014/11/08 02:05:07	Temp:14.00 	1:1022:0416:2.45320	2:0336:0302:1.11471	3:0393:0338:1.16026	4:0141:0229:0.61783
2014/11/08 02:05:13	Temp:14.00 	1:1022:0416:2.45350	2:0338:0303:1.11522	3:0394:0340:1.15998	4:0142:0230:0.61798
2014/11/08 02:05:19	Temp:14.00 	1:1022:0416:2.45361	2:0336:0302:1.11496	3:0393:0339:1.15984	4:0142:0229:0.61790
2014/11/08 02:05:25	Temp:14.00 	1:1022:0416:2.45362	2:0336:0302:1.11435	3:0393:0339:1.15934	4:0141:0229:0.61736
2014/11/08 02:05:31	Temp:14.00 	1:1022:0417:2.45213	2:0336:0302:1.11441	3:0393:0339:1.15977	4:0141:0229:0.61767
2014/11/08 02:05:36	Temp:14.00 	1:1022:0417:2.45293	2:0336:0302:1.11387	3:0393:0339:1.15941	4:0142:0229:0.61764
2014/11/08 02:05:42	Temp:14.00 	1:1022:0417:2.45297	2:0336:0302:1.11430	3:0393:0339:1.15951	4:0142:0229:0.61785
2014/11/08 02:05:48	Temp:14.00 	1:1022:0416:2.45319	2:0336:0301:1.11465	3:0393:0339:1.15995	4:0141:0230:0.61715
2014/11/08 02:05:54	Temp:14.00 	1:1022:0416:2.45365	2:0336:0302:1.11407	3:0393:0339:1.15977	4:0142:0229:0.61790
2014/11/08 02:05:59	Temp:14.00 	1:1022:0416:2.45394	2:0336:0302:1.11456	3:0393:0339:1.15986	4:0141:0229:0.61756
2014/11/08 02:06:05	Temp:14.00 	1:1022:0416:2.45397	2:0338:0303:1.11558	3:0394:0340:1.15997	4:0142:0230:0.61787
2014/11/08 02:06:11	Temp:14.00 	1:1022:0416:2.45377	2:0336:0302:1.11439	3:0393:0339:1.15970	4:0142:0230:0.61770
2014/11/08 02:06:17	Temp:14.00 	1:1022:0416:2.45365	2:0336:0301:1.11473	3:0393:0339:1.15966	4:0142:0229:0.61790
2014/11/08 02:06:23	Temp:14.00 	1:1022:0416:2.45410	2:0336:0302:1.11467	3:0393:0339:1.15923	4:0142:0230:0.61738
2014/11/08 02:06:28	Temp:14.00 	1:1022:0417:2.45298	2:0336:0302:1.11451	3:0393:0339:1.15966	4:0142:0230:0.61752
2014/11/08 02:06:34	Temp:14.00 	1:1022:0416:2.45416	2:0336:0302:1.11469	3:0393:0339:1.15965	4:0141:0229:0.61739
2014/11/08 02:06:40	Temp:14.00 	1:1022:0416:2.45362	2:0336:0302:1.11397	3:0393:0339:1.15929	4:0141:0230:0.61718
2014/11/08 02:06:46	Temp:14.00 	1:1022:0416:2.45362	2:0336:0301:1.11496	3:0393:0338:1.16003	4:0142:0229:0.61799
2014/11/08 02:06:52	Temp:14.00 	1:1022:0416:2.45489	2:0336:0301:1.11521	3:0393:0339:1.15982	4:0142:0229:0.61816
2014/11/08 02:06:57	Temp:14.00 	1:1022:0416:2.45391	2:0336:0302:1.11436	3:0394:0340:1.15985	4:0142:0230:0.61781
2014/11/08 02:07:03	Temp:14.00 	1:1022:0416:2.45335	2:0336:0302:1.11466	3:0393:0339:1.15949	4:0142:0229:0.61785
2014/11/08 02:07:09	Temp:14.00 	1:1022:0416:2.45479	2:0336:0302:1.11415	3:0393:0339:1.15952	4:0141:0230:0.61704
2014/11/08 02:07:15	Temp:14.00 	1:1022:0417:2.45299	2:0336:0301:1.11465	3:0393:0339:1.15916	4:0142:0229:0.61764
2014/11/08 02:07:20	Temp:14.00 	1:1022:0416:2.45370	2:0336:0301:1.11502	3:0393:0338:1.16009	4:0142:0229:0.61811
2014/11/08 02:07:26	Temp:14.00 	1:1022:0418:2.44410	2:0338:0303:1.11556	3:0394:0340:1.15996	4:0142:0230:0.61753
2014/11/08 02:07:32	Temp:14.00 	1:1022:0416:2.45384	2:0336:0301:1.11493	3:0393:0338:1.16004	4:0142:0229:0.61810
2014/11/08 02:07:38	Temp:14.00 	1:1022:0416:2.45456	2:0336:0301:1.11526	3:0393:0338:1.15994	4:0141:0230:0.61718
2014/11/08 02:07:44	Temp:14.00 	1:1022:0416:2.45373	2:0336:0302:1.11456	3:0393:0339:1.15955	4:0141:0229:0.61774
2014/11/08 02:07:49	Temp:14.00 	1:1022:0416:2.45411	2:0336:0301:1.11456	3:0394:0339:1.15983	4:0142:0230:0.61820
2014/11/08 02:07:55	Temp:14.00 	1:1022:0416:2.45429	2:0336:0302:1.11446	3:0393:0339:1.15943	4:0142:0229:0.61784
2014/11/08 02:08:01	Temp:14.00 	1:1022:0416:2.45443	2:0336:0301:1.11458	3:0393:0338:1.15999	4:0142:0229:0.61762
2014/11/08 02:08:07	Temp:14.00 	1:1022:0416:2.45388	2:0336:0302:1.11470	3:0393:0339:1.16000	4:0142:0229:0.61786
2014/11/08 02:08:12	Temp:14.00 	1:1022:0416:2.45369	2:0336:0302:1.11486	3:0393:0338:1.16010	4:0141:0229:0.61776
